Bar0, 62.86836935166995
Bar1, 62.86836935166995
Bar2, 69.5481335952849
Bar3, 85.6581532416503
Bar4, 85.26522593320234
Bar5, 85.6581532416503
Bar6, 89.58742632612969
Bar7, 95.08840864440077
Bar8, 108.0550098231827
Bar9, 108.0550098231827
Bar10, 108.84086444007859
Bar11, 112.37721021611003
Bar12, 116.30648330058942
Bar13, 116.69941060903733
Bar14, 119.84282907662084
Bar15, 120.23575638506875
Bar16, 148.13359528487229
Bar17, 157.5638506876228
Bar18, 162.27897838899804
Bar19, 162.671905697446
Bar20, 182.31827111984282
Bar21, 185.06876227897837
