Bar0, 58.31702544031311
Bar1, 64.97064579256359
Bar2, 82.58317025440311
Bar3, 89.23679060665361
Bar4, 89.23679060665361
Bar5, 89.23679060665361
Bar6, 93.9334637964775
Bar7, 100.19569471624266
Bar8, 104.10958904109589
Bar9, 107.2407045009785
Bar10, 107.2407045009785
Bar11, 110.76320939334639
Bar12, 117.8082191780822
Bar13, 123.28767123287672
Bar14, 123.28767123287672
Bar15, 118.19960861056751
Bar16, 140.11741682974562
Bar17, 140.11741682974562
Bar18, 167.90606653620353
Bar19, 181.60469667318986
Bar20, 192.5636007827789
