noOC1,lev,noOC2,dsg
53.83104125736741,62.86836935166995,67.71037181996087,58.31702544031311
54.223968565815326,62.86836935166995,67.71037181996087,64.97064579256359
63.654223968565816,69.5481335952849,67.71037181996087,82.58317025440311
74.65618860510807,85.6581532416503,73.97260273972603,89.23679060665361
75.44204322200395,85.26522593320234,73.97260273972603,89.23679060665361
82.90766208251475,85.6581532416503,82.58317025440311,89.23679060665361
82.90766208251475,89.58742632612969,82.58317025440311,93.9334637964775
86.83693516699412,95.08840864440076,88.06262230919765,100.19569471624266
87.22986247544206,108.0550098231827,92.7592954990215,104.10958904109587
94.69548133595286,108.0550098231827,104.89236790606653,107.2407045009785
94.69548133595286,108.8408644400786,104.89236790606653,107.2407045009785
99.80353634577604,112.37721021611004,104.89236790606653,110.7632093933464
106.483300589391,116.30648330058942,109.98043052837572,117.8082191780822
118.66404715127705,116.69941060903732,109.5890410958904,123.28767123287672
119.05697445972496,119.84282907662084,109.5890410958904,123.28767123287672
119.05697445972496,120.23575638506875,115.06849315068492,118.19960861056752
133.59528487229863,148.13359528487229,115.06849315068492,140.11741682974562
139.09626719056976,157.5638506876228,127.59295499021528,140.11741682974562
144.5972495088409,162.27897838899804,142.0743639921722,167.90606653620353
165.42239685658154,162.671905697446,153.03326810176125,181.60469667318984
173.2809430255403,182.3182711198428,184.7358121330724,192.5636007827789
183.49705304518665,185.0687622789784,126.8101761252446,
