noOC1,lev,noOC2,dsg
75.18072289156626,89.95983935742971,76.04301075268818,93.59139784946235
79.67871485943776,110.2008032128514,82.58064516129032,107.35483870967742
84.17670682730923,114.0562248995984,83.26881720430109,107.35483870967742
84.17670682730923,114.0562248995984,90.49462365591395,107.01075268817203
91.56626506024097,114.0562248995984,90.49462365591395,114.23655913978496
91.56626506024097,114.0562248995984,90.49462365591395,120.43010752688171
91.56626506024097,114.0562248995984,96.34408602150538,120.43010752688171
96.70682730923694,114.0562248995984,96.68817204301077,120.08602150537637
96.3855421686747,114.0562248995984,96.34408602150538,120.08602150537637
96.3855421686747,119.83935742971892,96.0,124.55913978494624
96.3855421686747,123.3734939759036,96.34408602150538,124.55913978494624
99.91967871485946,123.3734939759036,100.12903225806453,129.37634408602153
99.91967871485946,123.6947791164659,99.78494623655914,129.37634408602153
103.77510040160644,128.5140562248996,100.12903225806453,129.37634408602153
103.77510040160644,128.5140562248996,100.12903225806453,129.37634408602153
103.77510040160644,128.5140562248996,100.12903225806453,135.2258064516129
103.77510040160644,128.5140562248996,103.91397849462366,135.2258064516129
109.55823293172692,133.33333333333334,104.25806451612902,134.88172043010755
109.55823293172692,133.33333333333334,104.60215053763442,134.88172043010755
109.55823293172692,133.33333333333334,104.60215053763442,134.88172043010755
115.3413654618474,133.33333333333334,113.54838709677418,139.01075268817203
115.3413654618474,136.8674698795181,113.54838709677418,139.01075268817203
115.3413654618474,136.8674698795181,119.39784946236558,139.01075268817203
122.08835341365464,141.6867469879518,118.70967741935485,139.01075268817203
129.1566265060241,141.6867469879518,118.70967741935485,138.66666666666669
129.1566265060241,148.75502008032132,125.59139784946235,139.01075268817203
135.90361445783134,148.75502008032132,125.24731182795698,146.92473118279568
136.2248995983936,154.53815261044178,134.53763440860214,156.21505376344086
