Bar0, 78.68852459016395
Bar1, 78.36065573770495
Bar2, 87.86885245901642
Bar3, 87.86885245901642
Bar4, 87.86885245901642
Bar5, 87.86885245901642
Bar6, 91.8032786885246
Bar7, 91.8032786885246
Bar8, 96.06557377049182
Bar9, 96.06557377049182
Bar10, 96.06557377049182
Bar11, 101.96721311475413
Bar12, 101.6393442622951
Bar13, 101.6393442622951
Bar14, 101.96721311475413
Bar15, 105.57377049180329
Bar16, 105.57377049180329
Bar17, 105.57377049180329
Bar18, 109.18032786885247
Bar19, 109.18032786885247
Bar20, 113.7704918032787
Bar21, 118.68852459016395
Bar22, 118.68852459016395
Bar23, 119.01639344262296
Bar24, 128.19672131147544
Bar25, 127.86885245901641
Bar26, 133.7704918032787
Bar27, 133.7704918032787
