noOC1,lev,noOC2,dsg
78.68852459016395,72.78688524590164,81.5625,70.3125
78.36065573770495,72.45901639344264,85.93749999999999,70.3125
87.86885245901642,72.45901639344264,89.37499999999999,78.125
87.86885245901642,77.04918032786887,89.37499999999999,77.81249999999999
87.86885245901642,81.63934426229508,93.125,77.81249999999999
87.86885245901642,81.96721311475412,93.125,78.125
91.8032786885246,91.4754098360656,93.125,82.18749999999999
91.8032786885246,91.14754098360656,93.125,82.18749999999999
96.06557377049182,91.4754098360656,93.125,82.18749999999999
96.06557377049182,91.4754098360656,93.125,87.1875
96.06557377049182,95.7377049180328,96.875,90.625
101.96721311475412,95.7377049180328,104.375,90.625
101.6393442622951,99.34426229508198,104.6875,90.625
101.6393442622951,99.672131147541,104.6875,90.625
101.96721311475412,105.24590163934428,104.6875,97.5
105.57377049180327,105.57377049180327,104.6875,97.5
105.57377049180327,105.24590163934428,104.6875,97.5
105.57377049180327,109.50819672131148,104.375,97.5
109.18032786885249,109.50819672131148,104.375,97.5
109.18032786885249,113.11475409836066,108.4375,101.25
113.7704918032787,113.11475409836066,108.4375,105.0
118.68852459016396,113.11475409836066,108.4375,105.0
118.68852459016396,113.11475409836066,108.4375,101.5625
119.01639344262296,113.4426229508197,117.5,101.5625
128.19672131147544,113.11475409836066,125.3125,105.0
127.8688524590164,121.6393442622951,125.3125,109.0625
133.7704918032787,126.22950819672133,131.5625,109.0625
133.7704918032787,140.98360655737707,155.31249999999997,127.1875
